region,country,country-population,african-diaspora-population
Caribbean,Saint Kitts and Nevis,"39,619","38,827"
Caribbean,Dominica,"71,293",71293
Caribbean,Haiti,"10,646,714","10,114,378"
Caribbean,Antigua and Barbuda,"78,000","63,000"
Caribbean,Jamaica,"2,812,090","2,663,614"
Caribbean,Grenada,"110,000","101,309"
Caribbean,The Bahamas,"332,634","301,366"
Caribbean,Barbados,"281,968","253,771"
Caribbean,Puerto Rico,"3,285,874","558,598"
Caribbean,Netherlands Antilles,"225,369","191,564"
Caribbean,Saint Vincent and the Grenadines,"118,432","100,667"
Caribbean,Dominican Republic,"10,090,000","1,109,900"
Caribbean,British Virgin Islands,"24,004","19,923"
Caribbean,Saint Lucia,"172,884","142,629"
Caribbean,US Virgin Islands,"108,210","86,243"
Caribbean,French Guiana,"199,509","131,676"
Caribbean,Bermuda,"66,536","40,720"
Caribbean,Cayman Islands,"47,862","28,717"
Caribbean,Cuba,"11,116,396","3,890,738"
Caribbean,Trinidad and Tobago,"1,215,527","415,710"
South America,Brazil,"213,650,000","17,092,000"
South America,Suriname,"475,996","223,718"
South America,Guyana,"770,794","277,486"
South America,Colombia,"48,258,494","4,671,160"
South America,Ecuador,"13,927,650","680,000"
South America,Paraguay,"6,349,000","222,215"
South America,Uruguay,"3,494,382","139,775"
South America,Venezuela,"27,227,930","181,157"
South America,Peru,"29,496,000","589,920"
South America,Chile,"17,094,270","170,943"
South America,Bolivia,"10,907,778","54,539"
South America,Argentina,"40,091,359","50,000"
North America,United States,"328,745,538","42,020,743"
North America,Mexico,"108,700,891","1,386,556"
North America,Canada,"39,566,248","1,547,870"
Central America,Belize,"301,270","93,394"
Central America,Panama,"3,292,693","362,196"
Central America,Nicaragua,"5,785,846","520,726"
Central America,Costa Rica,"4,195,914","125,877"
Central America,Honduras,"7,639,327","152,787"
Central America,Guatemala,"13,002,206","100,000"
Europe,France,"62,752,136","4,400,000"
Europe,United Kingdom,"67,886,004","3,000,000"
Europe,Spain,"47,615,033","1,206,701"
Europe,Italy,"60,795,612","1,036,653"
Europe,Germany,"82,000,000","529,000"
Europe,Netherlands,"16,491,461","507,000"
Europe,Belgium,"10,666,866","300,000"
Europe,Sweden,"10,379,295","236,975"
Europe,Portugal,"10,605,870","232,000"
Europe,Norway,"4,858,199","67,000"
Europe,Ireland,"4,339,000","64,639"
Europe,Finland,"5,533,793","57,496"
Europe,Switzerland,"7,790,000","57,000"
Europe,Russia,"141,594,000","50,000"
Europe,Ukraine,"45,982,000","14,500"
Europe,Poland,"37,980,000","5,700"
Europe,Greece,"10,741,165","4,500"
Asia,Israel,"7,411,000","200,000"
Asia,India,"1,132,446,000","40,000"
Asia,Malaysia,"28,334,135","31,904"
Asia,Hong Kong,"7,200,000","20,000"
Asia,China,"1,321,851,888","16,000"
Asia,Japan,"127,756,815","10,000"
Asia,Pakistan,"172,900,000","10,000"